06-01224,Port 1,,,,,,,,,,,,,,,Port 7,,Port 8,
# Record: 1344,ATMOS 41 All-in-one Weather Station,,,,,,,,,,,,,,,Battery,,Barometer,
Timestamp,W/m? Solar Radiation,mm Precipitation, Lightning Activity,km Lightning Distance,¡ Wind Direction,m/s Wind Speed,m/s Gust Speed,¡C Air Temperature,kPa Vapor Pressure,kPa Atmospheric Pressure,¡ X-axis Level,¡ Y-axis Level,mm/h Max Precip Rate,¡C RH Sensor Temp,kPa VPD,% Battery Percent,mV Battery Voltage,kPa Reference Pressure,¡C Logger Temperature
6/28/2019 3:00,0,0,0,0,93,0.32,0.83,23.5,2.86,96.36,-0.3,0.9,0,23.2,0,100,6523,96.36,22.5
6/28/2019 3:15,0,0,0,0,47,0.3,0.82,23.3,2.86,96.36,-0.3,0.9,0,23.2,0,100,6527,96.37,22.5
6/28/2019 3:30,0,0,0,0,73,0.35,1.06,23.4,2.86,96.36,-0.3,0.9,0,23.1,0,100,6521,96.36,22.4
6/28/2019 3:45,0,0.017,0,0,50,1.19,2.23,23.4,2.86,96.36,-0.3,0.9,1,23.1,0,100,6524,96.36,22.5
6/28/2019 4:00,0,0,0,0,58,0.71,1.79,23.5,2.86,96.37,-0.3,0.9,0,23.2,0,100,6523,96.37,22.5
6/28/2019 4:15,0,0,0,0,3,0.3,0.75,23.1,2.82,96.4,-0.4,0.9,0,23.1,#N/A,100,6522,96.41,22.4
6/28/2019 4:30,0,0,0,0,354,0.22,0.61,23.1,2.83,96.4,-0.4,0.9,0,23,#N/A,100,6526,96.4,22.4
6/28/2019 4:45,0,0,0,0,356,0.32,0.68,23,2.81,96.41,-0.3,0.8,0,22.9,#N/A,100,6521,96.41,22.3
6/28/2019 5:00,0,0,0,0,299,0.34,0.71,22.9,2.8,96.44,-0.4,0.8,0,22.8,#N/A,100,6522,96.44,22.3
6/28/2019 5:15,0,0,0,0,26,0.25,0.7,22.9,2.8,96.47,-0.3,0.9,0,22.8,#N/A,100,6520,96.47,22.3
6/28/2019 5:30,0,0,0,0,1,0.45,1,22.9,2.79,96.47,-0.3,0.9,0,22.7,#N/A,100,6521,96.46,22.2
6/28/2019 5:45,0,0,0,0,71,0.71,1.92,23,2.81,96.48,-0.3,0.8,0,22.8,0,100,6521,96.48,22.3
6/28/2019 6:00,0,0,0,0,106,0.42,0.91,23.1,2.83,96.48,-0.3,0.9,0,22.9,#N/A,100,6520,96.47,22.4
6/28/2019 6:15,0,0,0,0,28,0.58,1.01,23,2.81,96.46,-0.3,0.9,0,22.9,#N/A,100,6520,96.46,22.4
6/28/2019 6:30,8,0,0,0,50,0.51,1.02,23.1,2.83,96.47,-0.3,0.9,0,22.9,0,100,6518,96.46,22.4
6/28/2019 6:45,22,0,0,0,10,0.52,1.03,23,2.81,96.48,-0.3,0.8,0,22.9,#N/A,100,6518,96.47,22.3
6/28/2019 7:00,31,0,0,0,39,0.71,1.13,23.1,2.82,96.49,-0.3,0.9,0,23,0,100,6519,96.48,22.4
6/28/2019 7:15,53,0,0,0,5,0.75,1.11,23.5,2.88,96.5,-0.3,0.9,0,23.3,0,100,6519,96.5,22.8
6/28/2019 7:30,125,0,0,0,36,0.68,1.33,23.6,2.9,96.5,-0.3,0.9,0,23.9,0,100,6521,96.5,23.1
6/28/2019 7:45,160,0,0,0,320,0.39,0.86,24,2.97,96.51,-0.3,0.9,0,24.9,0,100,6528,96.5,23.7
6/28/2019 8:00,144,0,0,0,272,0.42,1.16,24.2,3.01,96.54,-0.4,0.9,0,25.6,0,100,6532,96.53,24.3
6/28/2019 8:15,175,0,0,0,223,0.54,1.79,24.1,3,96.57,-0.4,0.9,0,25.5,0,100,6537,96.56,24.5
6/28/2019 8:30,283,0,0,0,247,0.48,1.05,24.5,3.07,96.58,-0.3,0.9,0,26.5,#N/A,100,6547,96.58,25.2
6/28/2019 8:45,250,0,0,0,269,0.54,1.31,25.1,3.16,96.6,-0.3,0.9,0,27.6,0,100,6552,96.61,26.5
6/28/2019 9:00,202,0,0,0,259,0.47,1.22,25,3.18,96.61,-0.4,0.9,0,27.5,#N/A,100,6553,96.62,26.9
6/28/2019 9:15,235,0,0,0,253,0.35,1.04,25,3.15,96.65,-0.3,0.9,0,27.4,0,100,6556,96.65,26.8
6/28/2019 9:30,380,0,0,0,296,0.59,1.88,25.1,3.18,96.65,-0.4,0.9,0,27.8,0,100,6565,96.67,27.2
6/28/2019 9:45,615,0,0,0,271,0.37,1.23,26.3,3.33,96.66,-0.4,1,0,29.7,0,100,6584,96.66,28.6
