Timestamp,W/m? Solar Radiation
7/3/2019 16:15,325
7/3/2019 16:30,468
7/3/2019 16:45,440
7/3/2019 17:00,289
7/3/2019 17:15,219
7/3/2019 17:30,204
7/3/2019 17:45,152
7/3/2019 18:00,117
7/3/2019 18:15,80
7/3/2019 18:30,44
7/3/2019 18:45,18
7/3/2019 19:00,2
7/3/2019 19:15,0
7/3/2019 19:30,0
7/3/2019 19:45,0
7/3/2019 20:00,0
7/3/2019 20:15,0
7/3/2019 20:30,0
7/3/2019 20:45,0
7/3/2019 21:00,0
7/3/2019 21:15,0
7/3/2019 21:30,0
7/3/2019 21:45,0
7/3/2019 22:00,0
7/3/2019 22:15,0
7/3/2019 22:30,0
7/3/2019 22:45,0
7/3/2019 23:00,0
7/3/2019 23:15,0
7/3/2019 23:30,0
7/3/2019 23:45,0
7/4/2019 0:00,0
7/4/2019 0:15,0
7/4/2019 0:30,0
7/4/2019 0:45,0
7/4/2019 1:00,0
7/4/2019 1:15,0
7/4/2019 1:30,0
7/4/2019 1:45,0
7/4/2019 2:00,0
7/4/2019 2:15,0
7/4/2019 2:30,0
7/4/2019 2:45,0
7/4/2019 3:00,0
7/4/2019 3:15,0
7/4/2019 3:30,0
7/4/2019 3:45,0
7/4/2019 4:00,0
7/4/2019 4:15,0
7/4/2019 4:30,0
7/4/2019 4:45,0
7/4/2019 5:00,0
7/4/2019 5:15,0
7/4/2019 5:30,0
7/4/2019 5:45,0
7/4/2019 6:00,0
7/4/2019 6:15,1
7/4/2019 6:30,7
7/4/2019 6:45,17
7/4/2019 7:00,34
7/4/2019 7:15,47
7/4/2019 7:30,162
7/4/2019 7:45,229
7/4/2019 8:00,280
7/4/2019 8:15,338
7/4/2019 8:30,399
7/4/2019 8:45,455
7/4/2019 9:00,455
7/4/2019 9:15,510
7/4/2019 9:30,589
7/4/2019 9:45,661
7/4/2019 10:00,735
7/4/2019 10:15,774
7/4/2019 10:30,619
7/4/2019 10:45,714
7/4/2019 11:00,736
7/4/2019 11:15,727
7/4/2019 11:30,759
7/4/2019 11:45,787
7/4/2019 12:00,681
7/4/2019 12:15,612
7/4/2019 12:30,742
7/4/2019 12:45,1011
7/4/2019 13:00,774
7/4/2019 13:15,534
7/4/2019 13:30,267
7/4/2019 13:45,712
7/4/2019 14:00,864
7/4/2019 14:15,879
7/4/2019 14:30,969
7/4/2019 14:45,918
7/4/2019 15:00,328
7/4/2019 15:15,178
7/4/2019 15:30,181
7/4/2019 15:45,231
7/4/2019 16:00,307
7/4/2019 16:15,554
7/4/2019 16:30,589
7/4/2019 16:45,518
7/4/2019 17:00,353
7/4/2019 17:15,262
7/4/2019 17:30,193
7/4/2019 17:45,155
7/4/2019 18:00,98
7/4/2019 18:15,59
7/4/2019 18:30,28
7/4/2019 18:45,8
7/4/2019 19:00,1
7/4/2019 19:15,0
7/4/2019 19:30,0
7/4/2019 19:45,0
7/4/2019 20:00,0
7/4/2019 20:15,0
7/4/2019 20:30,0
7/4/2019 20:45,0
7/4/2019 21:00,0
7/4/2019 21:15,0
7/4/2019 21:30,0
7/4/2019 21:45,0
7/4/2019 22:00,0
7/4/2019 22:15,0
7/4/2019 22:30,0
7/4/2019 22:45,0
7/4/2019 23:00,0
7/4/2019 23:15,0
7/4/2019 23:30,0
7/4/2019 23:45,0
7/5/2019 0:00,0
7/5/2019 0:15,0
7/5/2019 0:30,0
7/5/2019 0:45,0
7/5/2019 1:00,0
7/5/2019 1:15,0
7/5/2019 1:30,0
7/5/2019 1:45,0
7/5/2019 2:00,0
7/5/2019 2:15,0
7/5/2019 2:30,0
7/5/2019 2:45,0
7/5/2019 3:00,0
7/5/2019 3:15,0
7/5/2019 3:30,0
7/5/2019 3:45,0
7/5/2019 4:00,0
7/5/2019 4:15,0
7/5/2019 4:30,0
7/5/2019 4:45,0
7/5/2019 5:00,0
7/5/2019 5:15,0
7/5/2019 5:30,0
7/5/2019 5:45,0
7/5/2019 6:00,0
7/5/2019 6:15,1
7/5/2019 6:30,6
7/5/2019 6:45,23
7/5/2019 7:00,39
7/5/2019 7:15,54
7/5/2019 7:30,155
7/5/2019 7:45,235
7/5/2019 8:00,286
7/5/2019 8:15,348
7/5/2019 8:30,434
7/5/2019 8:45,509
7/5/2019 9:00,547
7/5/2019 9:15,599
7/5/2019 9:30,646
7/5/2019 9:45,686
7/5/2019 10:00,720
7/5/2019 10:15,764
7/5/2019 10:30,790
7/5/2019 10:45,832
7/5/2019 11:00,871
7/5/2019 11:15,890
7/5/2019 11:30,889
7/5/2019 11:45,899
7/5/2019 12:00,939
7/5/2019 12:15,881
7/5/2019 12:30,836
7/5/2019 12:45,814
7/5/2019 13:00,1012
7/5/2019 13:15,967
7/5/2019 13:30,872
7/5/2019 13:45,952
7/5/2019 14:00,953
7/5/2019 14:15,804
7/5/2019 14:30,832
7/5/2019 14:45,779
7/5/2019 15:00,836
7/5/2019 15:15,744
7/5/2019 15:30,620
7/5/2019 15:45,278
7/5/2019 16:00,328
7/5/2019 16:15,446
7/5/2019 16:30,455
7/5/2019 16:45,376
7/5/2019 17:00,309
7/5/2019 17:15,239
7/5/2019 17:30,157
7/5/2019 17:45,117
7/5/2019 18:00,84
7/5/2019 18:15,49
7/5/2019 18:30,27
7/5/2019 18:45,15
7/5/2019 19:00,2
7/5/2019 19:15,0
7/5/2019 19:30,0
7/5/2019 19:45,0
7/5/2019 20:00,0
7/5/2019 20:15,0
7/5/2019 20:30,0
7/5/2019 20:45,0
7/5/2019 21:00,0
7/5/2019 21:15,0
7/5/2019 21:30,0
7/5/2019 21:45,0
7/5/2019 22:00,0
7/5/2019 22:15,0
7/5/2019 22:30,0
7/5/2019 22:45,0
7/5/2019 23:00,0
7/5/2019 23:15,0
7/5/2019 23:30,0
7/5/2019 23:45,0
7/6/2019 0:00,0
7/6/2019 0:15,0
7/6/2019 0:30,0
7/6/2019 0:45,0
7/6/2019 1:00,0
7/6/2019 1:15,0
7/6/2019 1:30,0
7/6/2019 1:45,0
7/6/2019 2:00,0
7/6/2019 2:15,0
7/6/2019 2:30,0
7/6/2019 2:45,0
7/6/2019 3:00,0
7/6/2019 3:15,0
7/6/2019 3:30,0
7/6/2019 3:45,0
7/6/2019 4:00,0
7/6/2019 4:15,0
7/6/2019 4:30,0
7/6/2019 4:45,0
7/6/2019 5:00,0
7/6/2019 5:15,0
7/6/2019 5:30,0
7/6/2019 5:45,0
7/6/2019 6:00,0
7/6/2019 6:15,0
7/6/2019 6:30,5
7/6/2019 6:45,19
7/6/2019 7:00,28
7/6/2019 7:15,37
7/6/2019 7:30,131
7/6/2019 7:45,236
7/6/2019 8:00,291
7/6/2019 8:15,344
7/6/2019 8:30,373
7/6/2019 8:45,414
7/6/2019 9:00,517
7/6/2019 9:15,572
7/6/2019 9:30,509
7/6/2019 9:45,520
7/6/2019 10:00,680
7/6/2019 10:15,526
7/6/2019 10:30,428
7/6/2019 10:45,477
7/6/2019 11:00,877
7/6/2019 11:15,943
7/6/2019 11:30,671
7/6/2019 11:45,872
7/6/2019 12:00,953
7/6/2019 12:15,876
7/6/2019 12:30,947
7/6/2019 12:45,907
7/6/2019 13:00,581
7/6/2019 13:15,978
7/6/2019 13:45,532
7/6/2019 13:30,1035
7/6/2019 14:00,555
7/6/2019 14:15,815
7/6/2019 14:30,507
7/6/2019 14:45,92
7/6/2019 15:00,58
7/6/2019 15:15,19
7/6/2019 15:30,7
7/6/2019 15:45,4
7/6/2019 16:00,6
7/6/2019 16:15,8
7/6/2019 16:30,12
7/6/2019 16:45,14
7/6/2019 17:00,12
7/6/2019 17:15,16
7/6/2019 17:30,19
7/6/2019 17:45,19
7/6/2019 18:00,19
7/6/2019 18:15,19
7/6/2019 18:30,16
7/6/2019 18:45,5
7/6/2019 19:00,0
7/6/2019 19:15,0
7/6/2019 19:30,0
7/6/2019 19:45,0
7/6/2019 20:00,0
7/6/2019 20:15,0
7/6/2019 20:30,0
7/6/2019 20:45,0
7/6/2019 21:00,0
7/6/2019 21:15,0
7/6/2019 21:30,0
7/6/2019 21:45,0
7/6/2019 22:00,0
7/6/2019 22:15,0
7/6/2019 22:30,0
7/6/2019 22:45,0
7/6/2019 23:00,0
7/6/2019 23:15,0
7/6/2019 23:30,0
7/6/2019 23:45,0
7/7/2019 0:00,0
7/7/2019 0:15,0
7/7/2019 0:30,0
7/7/2019 0:45,0
7/7/2019 1:00,0
7/7/2019 1:15,0
7/7/2019 1:30,0
7/7/2019 1:45,0
7/7/2019 2:00,0
7/7/2019 2:15,0
7/7/2019 2:30,0
7/7/2019 2:45,0
7/7/2019 3:00,0
7/7/2019 3:15,0
7/7/2019 3:30,0
7/7/2019 3:45,0
7/7/2019 4:00,0
7/7/2019 4:15,0
7/7/2019 4:30,0
7/7/2019 4:45,0
7/7/2019 5:00,0
7/7/2019 5:15,0
7/7/2019 5:30,0
7/7/2019 5:45,0
7/7/2019 6:00,0
